"pat" "th"
371 652
164 742
246 677
323 700
178 621
61 839
36 1066
57 1097
120 1108
73 1045
124 1047
206 1232
71 1486
94 1686
129 1125
105 2089
36 3274
9 3632
10 2256
69 1906
156 1543
237 324
206 268
149 931
220 1392
234 1405
281 961
18 1067
205 594
589 161
838 352
736 172
405 202
857 342
971 183
999 252
693 187
520 165
1003 184
1013 200
649 238
246 181
97 180
173 191
327 71
237 22
185 52
137 68
328 45
916 31
959 17
1043 70
534 27
762 64
1193 117
1465 165
1236 206
847 284
554 307
840 267
1636 309
1702 183
1696 270
2358 254
1990 287
1965 293
1922 220
1639 133
1339 115
1912 49
1763 34
1981 16
1522 13
1506 1
1953 19
1942 57
1206 148
275 152
594 358
760 336
933 292
559 314
50 361
330 581
884 661
953 486
938 212
442 200
922 171
1040 387
704 629
43 828
393 701
767 654
915 611
773 467
590 417
1216 636
1323 1184
585 1610
85 2299
532 2306
263 2024
364 1626
244 1047
213 1540
398 2452
400 2988
518 2544
277 511
23 853
2 953
166 1364
67 1713
3 2860
3 2310
23 1283
7 1175
0 838
0 467
21 635
71 474
112 131
147 23
498 101
910 94
1336 161
775 10
420 72
347 86
797 34
1081 99
1268 97
1236 57
458 56
550 545
1007 444
939 35
656 33
289 5
378 4
365 0
212 4
405 0
382 0
262 24
221 0
213 0
213 13
252 8
160 1
180 64
113 71
40 248
191 236
307 792
145 1956
120 2504
261 3137
143 3470
75 3632
268 3704
517 2831
227 2941
204 3052
52 3314
169 3898
9 3621
10 3272
1 3327
5 3605
0 2916
0 2304
22 2223
1 2059
0 1614
27 1826
0 2446
7 2448
41 2161
63 987
104 1005
136 860
142 973
157 735
271 954
422 1297
103 2163
185 2757
383 3750
369 4487
237 4407
153 3643
173 2477
211 3551
319 3247
560 2551
241 885
336 1382
99 1837
48 2657
89 3720
72 3302
156 3231
35 2810
102 2394
36 1942
12 1668
19 2049
0 2594
24 3081
83 3456
232 3555
533 3758
940 4285
1361 4219
1275 3450
1683 3527
1914 3120
2157 1816
1964 1263
1590 1525
1716 1227
1780 728
2043 439
1870 559
1002 860
1028 800
1226 980
1202 1004
1526 965
2416 893
2862 888
2718 635
2142 405
2044 315
1817 190
1094 79
865 46
386 13
267 20
145 88
374 95
449 138
599 104
390 178
143 153
23 140
8 125
35 85
10 53
75 44
